Title;Artist;Album;Track;Genre;Year;Length;Filename;
Two Years Of Torture;Ray Charles;(1959) Atlantic Studio;13;Swing;1959;205;Ray Charles - 13 - Two Years Of Torture.mp3;
I'm Movin' On;Ray Charles;(1959) Atlantic Studio;15;Rhythm n Blues;1959;142;Ray Charles - 15 - I'm Movin' On.mp3;
Ray's Blues;Ray Charles;(1952-1955) Atlantic Studio;15;Blues;1953;175;Ray Charles - 15 - Ray's Blues.mp3;
Spirit in the Dark (Reprise);Ray Charles;Ray Charles Compilation;15;Rhythm n Blues;1997;511;Ray Charles - 15 - Spirit in the Dark (Reprise).mp3;
I Got A Break Baby (Mr. Charles' Blues);Ray Charles;(1952-1955) Atlantic Studio;16;Rhythm n Blues;1953;168;Ray Charles - 16 - I Got A Break Baby (Mr. Charles' Blues).mp3;
I Got A Break Baby (Mr. Charles' Blues);Ray Charles;(1952-1955) Atlantic Studio;16;Blues;1953;168;Ray Charles - 16 - I Got A Break Baby (Mr. Charles' Blues).mp3;
Rosetta;Ray Charles;Ray Charles and Betty Carter & Dedicated To You;17;Swing;1960;153;Ray Charles - 17 - Rosetta.mp3;
This Little Girl Of Mine;Ray Charles;(1952-1955) Atlantic Studio;22;Rhythm n Blues;1955;153;Ray Charles - 22 - This Little Girl Of Mine.mp3;
What Is This Thing Called Love;Red Garland;1956 - A Garland Of Red;03/8;Jazz Piano;1956;293;Red Garland - 03 - What Is This Thing Called Love.mp3;
Makin' Whoopee;Red Garland;1956 - A Garland Of Red;04/8;Jazz Piano;1956;256;Red Garland - 04 - Makin' Whoopee.mp3;
September In The Rain;Red Garland;1956 - A Garland Of Red;05/8;Jazz Piano;1956;288;Red Garland - 05 - September In The Rain.mp3;
Little Girl Blue;Red Garland;1956 - A Garland Of Red;06/8;Jazz Piano;1956;307;Red Garland - 06 - Little Girl Blue.mp3;
Our Delight;Regina Carter;(1999) Rhythms of the Heart;05/10;Jazz;1999;269;Regina Carter - 05 - Our Delight.mp3;
 I'll Be Good;Rene & Angela;The Ultimate Collection Soul 100 Hits CD05;19;Soul;2008;320;Rene & Angela - 19 -  I'll Be Good.mp3;
Brahms - Concerto for Piano No.2, Op.83 - 1 Allegro non troppo;Richter;Brahms - Concerto for Piano No.2, Op.83 (Richter);1/5;Classical;1961;1044;Richter - 01 - Brahms - Concerto for Piano No.2, Op.83 - 1 Allegro non troppo.mp3;
Brahms - Concerto for Piano No.2, Op.83 - 2 Allegro appassionato;Richter;Brahms - Concerto for Piano No.2, Op.83 (Richter);2/5;Classical;1961;533;Richter - 02 - Brahms - Concerto for Piano No.2, Op.83 - 2 Allegro appassionato.mp3;
Schubert - Piano Quintet in A, D.667 - V Finale;Richter;Schubert - Piano Quintet in A, D.667 (Richter, Borodin);5/9;Classical;1980;598;Richter - 05 - Schubert - Piano Quintet in A, D.667 - V Finale.mp3;
Glow;Rick James ;The Ultimate Collection Soul 100 Hits CD05;11;Soul;2008;340;Rick James  - 11 - Glow.mp3;
Disturbia;Rihanna;;027;Pop;;236;Rihanna - 27 - Disturbia.mp3;
Rehab ;Rihanna;;29;Pop;;294;Rihanna - 29 - Rehab .mp3;
Kindhearted Woman Blues;Robert Johnson;Complete Recording-Cd1;01;Blues;2004;172;Robert Johnson - 01 - Kindhearted Woman Blues.mp3;
When you got a Good friend;Robert Johnson;Complete Recording-Cd1;05;Blues;2004;158;Robert Johnson - 05 - When you got a Good friend.mp3;
Stop Breakin' Down Blues;Robert Johnson;Complete Recording-Cd2;06;Blues;2004;137;Robert Johnson - 06 - Stop Breakin' Down Blues.mp3;
Terraplane Blues;Robert Johnson;Complete Recording-Cd1;07;Blues;2004;181;Robert Johnson - 07 - Terraplane Blues.mp3;
Traveling Riverside Blues;Robert Johnson;Complete Recording-Cd2;07;Blues;2004;166;Robert Johnson - 07 - Traveling Riverside Blues.mp3;
No Tears (In The End);Roberta Flack;Killing Me Softly;3/8;Rhythm n Blues;1973;297;Roberta Flack - 03 - No Tears (In The End).mp3;
River;Roberta Flack;Killing Me Softly;5/8;Rhythm n Blues;1973;304;Roberta Flack - 05 - River.mp3;
When You Smile;Roberta Flack;Killing Me Softly;7/8;Rhythm n Blues;1973;224;Roberta Flack - 07 - When You Smile.mp3;
Booted (Original Mix);Rosco Gordon;The Magic of Rhythm and Blues, Vol. 1;25;Rhythm n Blues;2021;184;Rosco Gordon - 25 - Booted (Original Mix).mp3;
Car Wash;Rose Royce ;The Ultimate Collection Soul 100 Hits CD05;3;Soul;2008;199;Rose Royce  - 03 - Car Wash.mp3;
Everybody Loves The Sunshine;Roy Ayers ;The Ultimate Collection Soul 100 Hits CD04;9;Soul;2008;222;Roy Ayers  - 09 - Everybody Loves The Sunshine.mp3;
Gee Baby Ain't I Good To You;Roy Eldridge;(1975) Happy Time (with Oscar Peterson);04/10;Jazz;1975;214;Roy Eldridge - 04 - Gee Baby Ain't I Good To You.mp3;
It's My Turn Now;Roy Eldridge;(1935-1940) Chronological Roy Eldridge;10/21;Swing;1939;173;Roy Eldridge - 10 - It's My Turn Now.mp3;
You're a Lucky Guy;Roy Eldridge;(1935-1940) Chronological Roy Eldridge;11/21;Swing;1939;186;Roy Eldridge - 11 - You're a Lucky Guy.mp3;
Marmaduke;Roy Hargrove;Parker's Mood;03/16;Jazz;1995;201;Roy Hargrove - 03 - Marmaduke.mp3;
Build & Destroy;Rozewood;The Academy 3;28/34;Hip Hop;2021;230;Rozewood - 28 - Build & Destroy.mp3;
Cayman Islands;Rozewood & Hus Kingpin;The Academy 3;06/34;Hip Hop;2021;174;Rozewood & Hus Kingpin - 06 - Cayman Islands.mp3;
Please Don't Drive Me Away;Sam Cooke;(1963) Night Beat;4/12;Rhythm n Blues;1963;136;Sam Cooke - 04 - Please Don't Drive Me Away.mp3;
All The Way;Sam Cooke;(1962) Mr. Soul;5/12;Rhythm n Blues;1962;211;Sam Cooke - 05 - All The Way.mp3;
Wonderful World (Original Mix);Sam Cooke;The Magic of Rhythm and Blues, Vol. 1;06;Rhythm n Blues;2021;130;Sam Cooke - 06 - Wonderful World (Original Mix).mp3;
You Gotta Move;Sam Cooke;(1963) Night Beat;10/12;Rhythm n Blues;1963;161;Sam Cooke - 10 - You Gotta Move.mp3;
Roks;Sebastian Fleischer;Winter Collection 2017;12/19;Electronic;2017;407;Sebastian Fleischer - 12 - Roks.mp3;
Run From The Sun;Sektor/Subsequent/V O E;Liquicity Summer 2021;9;Electronic;2021;292;SektorSubsequentV O E - 09 - Run From The Sun.mp3;
Down On The Street;Shakatak ;The Ultimate Collection Soul 100 Hits CD05;20;Soul;2008;199;Shakatak  - 20 - Down On The Street.mp3;
I Can Make You Feel Good;Shalamar ;The Ultimate Collection Soul 100 Hits CD05;5;Soul;2008;258;Shalamar  - 05 - I Can Make You Feel Good.mp3;
There It Is;Shalamar ;The Ultimate Collection Soul 100 Hits CD02;10;Soul;2008;263;Shalamar  - 10 - There It Is.mp3;
Stitches;Shawn Mendes;100 Greatest Modern Pop Songs;10;Pop;2020;207;Shawn Mendes - 10 - Stitches.mp3;
Lullaby;Shawn Mullins;100 Hits - The Best - Soft Rock Album - CD3;05/20;Soft Rock;2018;274;Shawn Mullins - 05 - Lullaby.mp3;
Second Chance;Shinedown;;064;Pop;2009;219;Shinedown - 64 - Second Chance.mp3;
Cheap Thrills;Sia, Sean Paul;100 Greatest Modern Pop Songs;20;Pop;2020;225;Sia, Sean Paul - 20 - Cheap Thrills.mp3;
Hang On;Ski Oakenfull feat. Amp Fiddler ;The Ultimate Collection Soul 100 Hits CD04;12;Soul;2008;281;Ski Oakenfull feat. Amp Fiddler  - 12 - Hang On.mp3;
Family Affair;Sly & The Family Stone ;The Ultimate Collection Soul 100 Hits CD04;10;Soul;2008;180;Sly & The Family Stone  - 10 - Family Affair.mp3;
Being With You;Smokey Robinson ;Ultimate Soul Collection Soul 100 Hits CD3;4;Soul;2008;231;Smokey Robinson  - 04 - Being With You.mp3;
 I Second That Emotion;Smokey Robinson & The Miracles ;The Ultimate Collection Soul 100 Hits CD01;2;Soul;2008;163;Smokey Robinson & The Miracles  - 02 -  I Second That Emotion.mp3;
The Real Me;SmooVth;The Academy 3;03/34;Hip Hop;2021;172;SmooVth - 03 - The Real Me.mp3;
Rules of the Game (feat. J. Holmes);Snoop Dogg;The Academy 3;08/34;Hip Hop;2021;226;Snoop Dogg - 08 - Rules of the Game (feat. J. Holmes).mp3;
Shannon Street Blues;Sonny Boy Williamson;The Bluebird Recordings 1938;6;Blues;1938;201;Sonny Boy Williamson - 06 - Shannon Street Blues.mp3;
Low Down Blues;Sonny Boy Williamson;The Bluebird Recordings 1938;14;Blues;1938;192;Sonny Boy Williamson - 14 - Low Down Blues.mp3;
Nine Below Zero (Original Mix);Sonny Boy Williamson;The Magic of Rhythm and Blues, Vol. 1;29;Blues;2021;223;Sonny Boy Williamson - 29 - Nine Below Zero (Original Mix).mp3;
You Don't Know What Love Is;Sonny Rollins;(1956) Saxophone Colossus (Prestige);02;Jazz;1956;389;Sonny Rollins - 02 - You Don't Know What Love Is.mp3;
I Feel a Song Coming On;Sonny Rollins;(1956) Sonny Rollins Plus 4 (Prestige);03/5;Jazz;1956;316;Sonny Rollins - 03 - I Feel a Song Coming On.mp3;
Serenade To A Square ;Sonny Stitt;(1946) Early Buds with Sonny Stitt;02;Jazz;1946;157;Sonny Stitt - 02 - Serenade To A Square .mp3;
Kiss Me Thru The Phone;Soulja Boy Tell Em ft. Sammie;;041;Pop;2008;196;Soulja Boy Tell Em ft. Sammie - 41 - Kiss Me Thru The Phone.mp3;
Riderz;Spice 1, Lil Blacky & Fern;East Side Gangsters 4;13/15;Hip Hop;2007;187;Spice 1, Lil Blacky & Fern - 13 - Riderz.mp3;
Desafinado;Stan Getz;(1962) & Charlie Byrd;01;Jazz;1962;352;Stan Getz - 01 - Desafinado.mp3;
Summer Night;Stan Getz;(1975) The Master;01/4;Jazz;1975;606;Stan Getz - 01 - Summer Night.mp3;
Lamento Gitano;Stan Kenton;1940-1944;07/22;Swing;1942;204;Stan Kenton - 07 - Lamento Gitano.mp3;
Reed Rapture;Stan Kenton;1940-1944;08/22;Swing;1942;153;Stan Kenton - 08 - Reed Rapture.mp3;
Then I'll Be Tired Of You;Stanley Turrentine;Ballads (1960-1969);03;Jazz;1961;370;Stanley Turrentine - 03 - Then I'll Be Tired Of You.mp3;
Do It Again;Steely Dan;The Definitive Collection;1;Rock;1972;355;Steely Dan - 01 - Do It Again.mp3;
Dancefloorqueen;Stefan Brandenburg;Winter Collection 2017;16/19;Electronic;2017;429;Stefan Brandenburg - 16 - Dancefloorqueen.mp3;
Never Knew Love Like This Before;Stephaine Mills ;The Ultimate Collection Soul 100 Hits CD05;14;Soul;2008;325;Stephaine Mills  - 14 - Never Knew Love Like This Before.mp3;
Little Peace in C for U;Stéphane Grappelli;(1995) Flamingo;02;Jazz;1995;185;Stéphane Grappelli - 02 - Little Peace in C for U.mp3;
Something In The Way;Stephanie Mills ;The Ultimate Collection Soul 100 Hits CD04;16;Soul;2008;228;Stephanie Mills  - 16 - Something In The Way.mp3;
Do You;Stoshi;Winter Collection 2017;05/19;Electronic;2017;339;Stoshi - 05 - Do You.mp3;
Pillow Talk;Sylvia ;The Ultimate Collection Soul 100 Hits CD02;17;Soul;2008;260;Sylvia  - 17 - Pillow Talk.mp3;
Whatever You Like ;T.I.;;19;Pop;2009;250;T.I. - 19 - Whatever You Like .mp3;
Live Your Life ;T.I. ft. Rihanna;;08;Pop;2009;339;T.I. ft. Rihanna - 08 - Live Your Life .mp3;
Love Story;Taylor Swift;;003;Pop;2009;233;Taylor Swift - 03 - Love Story.mp3;
Shake It Off;Taylor Swift;100 Greatest Modern Pop Songs;03;Pop;2020;219;Taylor Swift - 03 - Shake It Off.mp3;
You Belong With Me;Taylor Swift;;095;Pop;;232;Taylor Swift - 95 - You Belong With Me.mp3;
Assassins (Remix) (feat. Planet Asia, Chino XL, Royce the 5'9, Token, Bronze Nazareth & Passionate MC);Tech N9ne;The Academy 3;16/34;Hip Hop;2021;332;Tech N9ne - 16 - Assassins (Remix) (feat. Planet Asia, Chino XL, Royce the 5'9, Token, Bronze Nazareth & Passionate MC).mp3;
I'm Coming, Virginia;Teddy Wilson;(1937-38) Teddy Wilson Combos;05/24;Swing;1937;165;Teddy Wilson - 05 - I'm Coming, Virginia.mp3;
Too Good To Be True;Teddy Wilson;(1935-36) Teddy Wilson Combos;05/22;Swing;1936;191;Teddy Wilson - 05 - Too Good To Be True.mp3;
Warmin' Up;Teddy Wilson;(1935-36) Teddy Wilson Combos;06/22;Swing;1936;194;Teddy Wilson - 06 - Warmin' Up.mp3;
Paro;Telomic;Liquicity Summer 2021;11;Electronic;2021;252;Telomic - 11 - Paro.mp3;
If You Let Me Stay;Terence Trent D'Arby ;Ultimate Soul Collection Soul 100 Hits CD3;12;Soul;2008;193;Terence Trent D'Arby  - 12 - If You Let Me Stay.mp3;
Ghetto Blues;Tha Dogg Pound;The Academy 3;31/34;Hip Hop;2021;194;Tha Dogg Pound - 31 - Ghetto Blues.mp3;
Something;The Beatles;(1969) Abbey Road (2009 Stereo Remaster);2/17;Rock;1969;182;The Beatles - 02 - Something.mp3;
Glass Onion;The Beatles;1968- The White Album (Disc 1) (2007 Dr. Ebbets Red Wax Mono);3/17;Rock;1968;137;The Beatles - 03 - Glass Onion.mp3;
Nobody Knows;The Brothers Four;The Greenwich Village Folk Scene CD3;5/20;Folk;2014;180;The Brothers Four - 05 - Nobody Knows.mp3;
Nine Pound Hammer;The Brothers Four;The Greenwich Village Folk Scene CD1;11;Folk;2014;168;The Brothers Four - 11 - Nine Pound Hammer.mp3;
Greenfields;The Brothers Four;The Greenwich Village Folk Scene CD2;13/20;Folk;2014;185;The Brothers Four - 13 - Greenfields.mp3;
The Green Leaves Of Summer;The Brothers Four;The Greenwich Village Folk Scene CD3;15/20;Folk;2014;177;The Brothers Four - 15 - The Green Leaves Of Summer.mp3;
Something Just Like This;The Chainsmokers, Coldplay;100 Greatest Modern Pop Songs;16;Pop;2020;248;The Chainsmokers, Coldplay - 16 - Something Just Like This.mp3;
Closer;The Chainsmokers, Halsey;100 Greatest Modern Pop Songs;02;Pop;2020;245;The Chainsmokers, Halsey - 02 - Closer.mp3;
Nightshift;The Commodores ;The Ultimate Collection Soul 100 Hits CD02;3;Soul;2008;256;The Commodores  - 03 - Nightshift.mp3;
Smokey Places (Original Mix);The Corsairs;The Magic of Rhythm and Blues, Vol. 1;04;Rhythm n Blues;2021;183;The Corsairs - 04 - Smokey Places (Original Mix).mp3;
Ginger Ale;The Crack Kids;Winter Collection 2017;19/19;Electronic;2017;424;The Crack Kids - 19 - Ginger Ale.mp3;
Can't Go On Living;The Delfonics ;The Ultimate Collection Soul 100 Hits CD02;19;Soul;2008;190;The Delfonics  - 19 - Can't Go On Living.mp3;
Think It Over;The Delfonics ;The Ultimate Collection Soul 100 Hits CD01;19;Soul;2008;277;The Delfonics  - 19 - Think It Over.mp3;
Back Door Man;The Doors;(1967) The Doors;01;Rock;1967;214;The Doors - 01 - Back Door Man.mp3;
Hello, I Love You;The Doors;(1968) Waiting For The Sun - Perception Boxset 2006;01/16;Rock;1968;136;The Doors - 01 - Hello, I Love You.mp3;
The Changeling;The Doors;(1971) LA Woman;01/10;Rock;1971;261;The Doors - 01 - The Changeling.mp3;
Love Her Madly;The Doors;(1971) LA Woman;02/10;Rock;1971;201;The Doors - 02 - Love Her Madly.mp3;
Float On;The Floaters ;The Ultimate Collection Soul 100 Hits CD01;18;Soul;2008;250;The Floaters  - 18 - Float On.mp3;
Loving You Is Sweeter Than Ever;The Four Tops ;The Ultimate Collection Soul 100 Hits CD01;11;Soul;2008;168;The Four Tops  - 11 - Loving You Is Sweeter Than Ever.mp3;
You Found Me;The Fray;;012;Pop;2009;244;The Fray - 12 - You Found Me.mp3;
Closer to God;The God Fahim;The Academy 3;18/34;Hip Hop;2021;144;The God Fahim - 18 - Closer to God.mp3;
Amelia Earhart's Last Flight;The Greenbriar Boys (Featuring John Herald);The Greenwich Village Folk Scene CD2;12/20;Folk;2014;223;The Greenbriar Boys (Featuring John Herald) - 12 - Amelia Earhart's Last Flight.mp3;
Down The Road;The Greenbriar Boys (Featuring John Herald);The Greenwich Village Folk Scene CD1;16;Folk;2014;121;The Greenbriar Boys (Featuring John Herald) - 16 - Down The Road.mp3;
Johnny With The Bandy Legs;The Highwaymen;The Greenwich Village Folk Scene CD1;15;Folk;2014;199;The Highwaymen - 15 - Johnny With The Bandy Legs.mp3;
Whiskey In The Jar;The Highwaymen;The Greenwich Village Folk Scene CD2;16/20;Folk;2014;165;The Highwaymen - 16 - Whiskey In The Jar.mp3;
This Old Heart Of Mine;The Isley Brothers ;The Ultimate Collection Soul 100 Hits CD01;10;Soul;2008;166;The Isley Brothers  - 10 - This Old Heart Of Mine.mp3;
I Want You Back;The Jackson 5 ;The Ultimate Collection Soul 100 Hits CD05;1;Soul;2008;176;The Jackson 5  - 01 - I Want You Back.mp3;
Human;The Killers;;046;Pop;2009;245;The Killers - 46 - Human.mp3;
Picture Book;The Kinks;The Kinks are the Village Green Preservation Society;3;Rock;1968;160;The Kinks - 03 - Picture Book.mp3;
Johnny Thunder;The Kinks;The Kinks are the Village Green Preservation Society;4;Rock;1968;153;The Kinks - 04 - Johnny Thunder.mp3;
A Wayfaring Stranger;The Limeliters;The Greenwich Village Folk Scene CD3;6/20;Folk;2014;190;The Limeliters - 06 - A Wayfaring Stranger.mp3;
Sweet Water Rolling;The Limeliters;The Greenwich Village Folk Scene CD2;11/20;Folk;2014;150;The Limeliters - 11 - Sweet Water Rolling.mp3;
Those Were The Days;The Limeliters;The Greenwich Village Folk Scene CD1;14;Folk;2014;187;The Limeliters - 14 - Those Were The Days.mp3;
Everywhere I Look This Mornin';The Limeliters;The Greenwich Village Folk Scene CD3;16/20;Folk;2014;123;The Limeliters - 16 - Everywhere I Look This Mornin'.mp3;
I May Be Wrong But I Think You're Wonderful;The Mills Brothers;(1967-68) The Mills Brothers & Count Basie;02/21;Swing;1967;189;The Mills Brothers - 02 - I May Be Wrong But I Think You're Wonderful.mp3;
Cherry Point;The Mills Brothers;(1967-68) The Mills Brothers & Count Basie;13/21;Swing;1968;207;The Mills Brothers - 13 - Cherry Point.mp3;
Sent For You Yesterday (And Here You Are Today);The Mills Brothers;(1967-68) The Mills Brothers & Count Basie;16/21;Swing;1968;217;The Mills Brothers - 16 - Sent For You Yesterday (And Here You Are Today).mp3;
Every Day;The Mills Brothers;(1967-68) The Mills Brothers & Count Basie;21/21;Swing;1968;175;The Mills Brothers - 21 - Every Day.mp3;
Shop Around (Original Mix);The Miracles;The Magic of Rhythm and Blues, Vol. 1;18;Rhythm n Blues;2021;171;The Miracles - 18 - Shop Around (Original Mix).mp3;
Sincerely (Original Mix);The Moonglows;The Magic of Rhythm and Blues, Vol. 1;27;Rhythm n Blues;2021;192;The Moonglows - 27 - Sincerely (Original Mix).mp3;
Nine Hundred Miles;The New Christy Minstrels;The Greenwich Village Folk Scene CD2;2/20;Folk;2014;143;The New Christy Minstrels - 02 - Nine Hundred Miles.mp3;
Hypnotize (2007 Remaster);The Notorious B.I.G.;100 Greatest Rap Songs: The Greatest Hip-Hop Tracks Ever;2;Hip Hop;2020-01-03;230;The Notorious B.I.G. - 02 - Hypnotize (2007 Remaster).mp3;
I'm Doing Fine Now;The Pasadenas ;Ultimate Soul Collection Soul 100 Hits CD3;11;Soul;2008;210;The Pasadenas  - 11 - I'm Doing Fine Now.mp3;
Next To You;The Police;(1978) Outlandos D'Amour;1/10;Rock;1978;175;The Police - 01 - Next To You.mp3;
Peanuts;The Police;(1978) Outlandos D'Amour;5/10;Rock;1978;242;The Police - 05 - Peanuts.mp3;
I Hate This Part  ;The Pussycat Dolls;;010;Pop;2009;220;The Pussycat Dolls - 10 - I Hate This Part  .mp3;
You To Me Are Everything;The Real Thing ;The Ultimate Collection Soul 100 Hits CD02;8;Soul;2008;201;The Real Thing  - 08 - You To Me Are Everything.mp3;
Can't Get By Without You;The Real Thing ;The Ultimate Collection Soul 100 Hits CD05;15;Soul;2008;202;The Real Thing  - 15 - Can't Get By Without You.mp3;
Miss You;The Rolling Stones;(1978) Some Girls (1987 CBS);01;Rock;1978;289;The Rolling Stones - 01 - Miss You.mp3;
Rocks Off ;The Rolling Stones;(1972) Exile on Main St. [ Virgin Remaster ];01;Rock;1972;274;The Rolling Stones - 01 - Rocks Off .mp3;
Sway;The Rolling Stones;(1971) Sticky Fingers ('91 Cd) {CBS Master};02;Rock;1971;233;The Rolling Stones - 02 - Sway.mp3;
Empty Heart;The Rolling Stones;(1965) 12 X 5 (SACD-hybrid);3/12;Rock;1965;159;The Rolling Stones - 03 - Empty Heart.mp3;
It Won't Take Long;The Rolling Stones;(2005) A Bigger Bang (UMG Remaster 2009);3/16;Rock;2005;235;The Rolling Stones - 03 - It Won't Take Long.mp3;
Wild Horses;The Rolling Stones;(1971) Sticky Fingers ('91 Cd) {CBS Master};03;Rock;1971;344;The Rolling Stones - 03 - Wild Horses.mp3;
Live With Me;The Rolling Stones;(1969) Let It Bleed (SACD-hybrid);4/9;Rock;1969;213;The Rolling Stones - 04 - Live With Me.mp3;
Some Girls;The Rolling Stones;(1978) Some Girls (1987 CBS);04;Rock;1978;277;The Rolling Stones - 04 - Some Girls.mp3;
Betcha By Golly, Wow;The Stylistics ;The Ultimate Collection Soul 100 Hits CD01;17;Soul;2008;225;The Stylistics  - 17 - Betcha By Golly, Wow.mp3;
Jessie James;The Swagmen;The Greenwich Village Folk Scene CD1;17;Folk;2014;141;The Swagmen - 17 - Jessie James.mp3;
Be Young, Be Foolish, Be Happy;The Tams ;The Ultimate Collection Soul 100 Hits CD01;9;Soul;2008;125;The Tams  - 09 - Be Young, Be Foolish, Be Happy.mp3;
Take This Hammer;The Tarriers;The Greenwich Village Folk Scene CD1;9;Folk;2014;155;The Tarriers - 09 - Take This Hammer.mp3;
Lonesome Traveler;The Tarriers;The Greenwich Village Folk Scene CD1;19;Folk;2014;115;The Tarriers - 19 - Lonesome Traveler.mp3;
Treat Her Like A Lady;The Temptations ;The Ultimate Collection Soul 100 Hits CD02;11;Soul;2008;253;The Temptations  - 11 - Treat Her Like A Lady.mp3;
When Will I See You Again;The Three Degrees ;The Ultimate Collection Soul 100 Hits CD02;12;Soul;2008;180;The Three Degrees  - 12 - When Will I See You Again.mp3;
I'm Waiting For The Man;The Velvet Underground;(1967) The Velvet Underground & Nico;2/12;Rock;1967;280;The Velvet Underground - 02 - I'm Waiting For The Man.mp3;
Untouched ;The Veronicas;;017;Pop;2009;257;The Veronicas - 17 - Untouched .mp3;
The Watusi (Original Mix);The Vibrations;The Magic of Rhythm and Blues, Vol. 1;08;Rhythm n Blues;2021;160;The Vibrations - 08 - The Watusi (Original Mix).mp3;
Can't Feel My Face;The Weeknd, Ali Payami, Max Martin, Peter Svensson;100 Greatest Modern Pop Songs;04;Pop;2020;214;The Weeknd, Ali Payami, Max Martin, Peter Svensson - 04 - Can't Feel My Face.mp3;
It's A Love Thing;The Whispers ;The Ultimate Collection Soul 100 Hits CD02;9;Soul;2008;224;The Whispers  - 09 - It's A Love Thing.mp3;
And The Beat Goes On;The Whispers ;Ultimate Soul Collection Soul 100 Hits CD3;13;Soul;2008;202;The Whispers  - 13 - And The Beat Goes On.mp3;
Candle;The White Tie Affair;;070;Pop;;256;The White Tie Affair - 70 - Candle.mp3;
Bargain;The Who;(1971) Who's Next (Disc 1);2/15;Rock;1971;334;The Who - 02 - Bargain.mp3;
Love Ain't For Keeping;The Who;(1971) Who's Next (Disc 1);3/15;Rock;1971;131;The Who - 03 - Love Ain't For Keeping.mp3;
Devil's Piano;The Wisemen;The Academy 3;26/34;Hip Hop;2021;191;The Wisemen - 26 - Devil's Piano.mp3;
Care Of Cell 44;The Zombies;Odessey And Oracle;1/14;Rock;1967;235;The Zombies - 01 - Care Of Cell 44.mp3;
A Rose For Emily;The Zombies;Odessey And Oracle;2/14;Rock;1967;139;The Zombies - 02 - A Rose For Emily.mp3;
Beechwood Park;The Zombies;Odessey And Oracle;4/14;Rock;1967;164;The Zombies - 04 - Beechwood Park.mp3;
Rockin That Thang;The-Dream;;074;Pop;2008;234;The-Dream - 74 - Rockin That Thang.mp3;
Don't Leave Me This Way;Thelma Houston ;The Ultimate Collection Soul 100 Hits CD02;13;Soul;2008;217;Thelma Houston  - 13 - Don't Leave Me This Way.mp3;
Black and Tan Fantasy;Thelonious Monk;(1955) Plays Duke Ellington;04;Jazz Piano;1955;206;Thelonious Monk - 04 - Black and Tan Fantasy.mp3;
I Surrender, Dear;Thelonious Monk;(1956) Brilliant Corners;04;Jazz Piano;1956;327;Thelonious Monk - 04 - I Surrender, Dear.mp3;
Mood Indigo;Thelonious Monk;(1955) Plays Duke Ellington;05;Jazz Piano;1955;196;Thelonious Monk - 05 - Mood Indigo.mp3;
I Let a Song Go Out of My Heart;Thelonious Monk;(1955) Plays Duke Ellington;06;Jazz Piano;1955;342;Thelonious Monk - 06 - I Let a Song Go Out of My Heart.mp3;
Angels On the Moon;Thriving Ivory;;044;Pop;;253;Thriving Ivory - 44 - Angels On the Moon.mp3;
Beethoven - Quartet, Op. 127 in E flat major - 1 Maestoso; Allegro;Tokyo SQ;Beethoven - Quartet, Op. 127 in E flat major (Tokyo);1/11;Classical;1992;401;Tokyo SQ - 01 - Beethoven - Quartet, Op. 127 in E flat major - 1 Maestoso; Allegro.mp3;
Beethoven - Quartet, Op. 127 in E flat major - 2 Adagio ma non troppo;Tokyo SQ;Beethoven - Quartet, Op. 127 in E flat major (Tokyo);2/11;Classical;1992;957;Tokyo SQ - 02 - Beethoven - Quartet, Op. 127 in E flat major - 2 Adagio ma non troppo.mp3;
Another Love;Tom Odell;100 Greatest Modern Pop Songs;54;Pop;2020;251;Tom Odell - 54 - Another Love.mp3;
Willie Seton (Live);Tom Paxton;The Greenwich Village Folk Scene CD1;2;Folk;2014;172;Tom Paxton - 02 - Willie Seton (Live).mp3;
My Dog's Bigger Than Your Dog (Live);Tom Paxton;The Greenwich Village Folk Scene CD2;20/20;Folk;2014;100;Tom Paxton - 20 - My Dog's Bigger Than Your Dog (Live).mp3;
Freeze;T-Pain ft. Chris Brown;;071;Pop;;218;T-Pain ft. Chris Brown - 71 - Freeze.mp3;
Chopped N Skrewed;T-Pain ft. Ludacris;;076;Pop;2009;263;T-Pain ft. Ludacris - 76 - Chopped N Skrewed.mp3;
Take The;Trav;East Side Gangsters 4;08/15;Hip Hop;2007;230;Trav - 08 - Take The.mp3;
Kings Of Underground;Trav & Lil Blacky;East Side Gangsters 4;01/15;Hip Hop;2007;232;Trav & Lil Blacky - 01 - Kings Of Underground.mp3;
Playin' No Games;Trav & Pops;East Side Gangsters 4;10/15;Hip Hop;2007;192;Trav & Pops - 10 - Playin' No Games.mp3;
Bach: Brandenburg Concerto #5, BWV 1050 - 1. Allegro;Trevor Pinnock;Bach (JS): Brandenburg Concertos [Disc 2];4/9;Classical;1982;589;Trevor Pinnock - 04 - Bach Brandenburg Concerto #5, BWV 1050 - 1. Allegro.mp3;
Bach: Brandenburg Concerto #5, BWV 1050 - 2. Affettuoso;Trevor Pinnock;Bach (JS): Brandenburg Concertos [Disc 2];5/9;Classical;1982;311;Trevor Pinnock - 05 - Bach Brandenburg Concerto #5, BWV 1050 - 2. Affettuoso.mp3;
Bach: Brandenburg Concerto #5, BWV 1050 - 3. Allegro;Trevor Pinnock;Bach (JS): Brandenburg Concertos [Disc 2];6/9;Classical;1982;314;Trevor Pinnock - 06 - Bach Brandenburg Concerto #5, BWV 1050 - 3. Allegro.mp3;
